pre_state,action,reward,state
2.20149 0.702938 -2.6537 0.395007,1.36415 1.0265 1.07966 1.23639,-99.2258,2.2013 0.702849 -2.67652 0.39469
2.2013 0.702849 -2.67652 0.39469,1.33579 1.00892 1.0865 1.25596,-99.1915,2.2011 0.702761 -2.69883 0.394333
2.2011 0.702761 -2.69883 0.394333,1.28994 1.0393 1.12214 1.24695,-99.1578,2.20089 0.702673 -2.72109 0.394044
2.20089 0.702673 -2.72109 0.394044,1.29062 1.07664 1.14756 1.26324,-99.1245,2.20068 0.702588 -2.74335 0.394056
2.20068 0.702588 -2.74335 0.394056,1.28196 1.09232 1.13005 1.23308,-99.0917,2.20046 0.702503 -2.76503 0.393927
2.20046 0.702503 -2.76503 0.393927,1.29899 1.0857 1.1221 1.21966,-99.0594,2.20023 0.702419 -2.78583 0.39377
2.20023 0.702419 -2.78583 0.39377,1.27077 1.12171 1.08337 1.17308,-99.0276,2.2 0.702337 -2.80479 0.393357
2.2 0.702337 -2.80479 0.393357,1.26089 1.11263 1.09063 1.14603,-98.9963,2.19976 0.702256 -2.82196 0.392845
2.19976 0.702256 -2.82196 0.392845,1.25124 1.10665 1.16387 1.11025,-98.9654,2.19951 0.702176 -2.83799 0.392451
2.19951 0.702176 -2.83799 0.392451,1.24579 1.0893 1.14517 1.10619,-98.935,2.19926 0.702098 -2.85289 0.391932
2.19926 0.702098 -2.85289 0.391932,1.24947 1.09973 1.13604 1.11719,-98.905,2.19901 0.70202 -2.86657 0.391512
2.19901 0.70202 -2.86657 0.391512,1.25799 1.10358 1.13464 1.15723,-98.8754,2.19875 0.701943 -2.87934 0.391304
2.19875 0.701943 -2.87934 0.391304,1.28041 1.11951 1.1291 1.14176,-98.8461,2.19849 0.701867 -2.8906 0.391174
2.19849 0.701867 -2.8906 0.391174,1.29654 1.08372 1.11568 1.15206,-98.8172,2.19822 0.701792 -2.90056 0.390975
2.19822 0.701792 -2.90056 0.390975,1.26387 1.08562 1.12324 1.17619,-98.7885,2.19795 0.701717 -2.90989 0.390796
2.19795 0.701717 -2.90989 0.390796,1.26797 1.06858 1.1323 1.16691,-98.7601,2.19768 0.701644 -2.91875 0.390587
2.19768 0.701644 -2.91875 0.390587,1.27032 1.04309 1.12602 1.17334,-98.732,2.19741 0.701571 -2.92739 0.390315
2.19741 0.701571 -2.92739 0.390315,1.27535 1.0359 1.09409 1.20881,-98.7043,2.19713 0.701499 -2.93588 0.390071
2.19713 0.701499 -2.93588 0.390071,1.28299 0.990626 1.07822 1.18324,-98.6768,2.19685 0.701427 -2.94416 0.389572
2.19685 0.701427 -2.94416 0.389572,1.27552 1.02023 1.07709 1.18198,-98.6496,2.19656 0.701356 -2.952 0.389184
