pre_state,action,reward,state
2.21564 0.695669 1.44411 0.400444,1.83301 1.00835 0.749116 1.38438,-96.5409,2.21549 0.695774 1.5327 0.400597
2.21549 0.695774 1.5327 0.400597,1.85143 1.00951 0.742128 1.38715,-96.5785,2.21531 0.695875 1.62171 0.400789
2.21531 0.695875 1.62171 0.400789,1.88126 0.993425 0.740865 1.40002,-96.6144,2.21509 0.695972 1.71108 0.401053
2.21509 0.695972 1.71108 0.401053,1.88613 1.01309 0.735804 1.39865,-96.6482,2.21485 0.696063 1.80108 0.401357
2.21485 0.696063 1.80108 0.401357,1.86572 1.00754 0.748865 1.37842,-96.6798,2.21457 0.696148 1.89141 0.401521
2.21457 0.696148 1.89141 0.401521,1.88448 0.997445 0.751862 1.35826,-96.7087,2.21426 0.696226 1.98229 0.401641
2.21426 0.696226 1.98229 0.401641,1.8485 1.03702 0.755542 1.33157,-96.7348,2.21393 0.696296 2.07391 0.401683
2.21393 0.696296 2.07391 0.401683,1.84868 1.00621 0.737649 1.31962,-96.7578,2.21357 0.696357 2.16612 0.401512
2.21357 0.696357 2.16612 0.401512,1.8423 1.02278 0.768574 1.30854,-96.7775,2.21319 0.69641 2.25874 0.401459
2.21319 0.69641 2.25874 0.401459,1.82275 1.05558 0.766376 1.27841,-96.7937,2.2128 0.696454 2.35216 0.401346
2.2128 0.696454 2.35216 0.401346,1.82274 1.05699 0.764944 1.29319,-96.8062,2.21239 0.696487 2.44612 0.401293
2.21239 0.696487 2.44612 0.401293,1.79363 1.04707 0.804429 1.30495,-96.815,2.21197 0.696511 2.53958 0.401286
2.21197 0.696511 2.53958 0.401286,1.79335 1.05151 0.813715 1.26454,-96.8199,2.21154 0.696524 2.633 0.401187
2.21154 0.696524 2.633 0.401187,1.80243 1.05556 0.807746 1.27097,-96.821,2.21112 0.696527 2.72652 0.401144
2.21112 0.696527 2.72652 0.401144,1.80523 1.04429 0.802478 1.28046,-96.8182,2.21069 0.696519 2.81998 0.401089
2.21069 0.696519 2.81998 0.401089,1.82356 1.05313 0.806084 1.30072,-96.8116,2.21027 0.696502 2.91343 0.401216
2.21027 0.696502 2.91343 0.401216,1.82442 1.04161 0.807186 1.30129,-96.8012,2.20985 0.696474 3.00675 0.401302
2.20985 0.696474 3.00675 0.401302,1.82921 1.03359 0.805562 1.33419,-96.7871,2.20945 0.696436 3.09959 0.401477
2.20945 0.696436 3.09959 0.401477,1.84319 1.05409 0.799108 1.28975,-96.7695,2.20906 0.696389 -3.09026 0.40158
2.20906 0.696389 -3.09026 0.40158,1.85723 1.08824 0.845048 1.2735,-96.7484,2.20869 0.696332 -2.9963 0.401944
2.20869 0.696332 -2.9963 0.401944,1.85475 1.07596 0.818686 1.2872,-96.724,2.20835 0.696266 -2.90186 0.402182
2.20835 0.696266 -2.90186 0.402182,1.83905 1.05605 0.791391 1.29768,-96.6965,2.20803 0.696193 -2.80722 0.402218
2.20803 0.696193 -2.80722 0.402218,1.84517 1.07072 0.773801 1.33026,-96.6662,2.20773 0.696111 -2.71235 0.402375
2.20773 0.696111 -2.71235 0.402375,1.88322 1.04894 0.794505 1.31059,-96.6334,2.20747 0.696023 -2.61714 0.402578
2.20747 0.696023 -2.61714 0.402578,1.89347 1.05788 0.795199 1.29469,-96.5982,2.20724 0.695928 -2.52127 0.402778
2.20724 0.695928 -2.52127 0.402778,1.85677 1.05147 0.799484 1.26294,-96.5611,2.20705 0.695829 -2.42504 0.402716
2.20705 0.695829 -2.42504 0.402716,1.85326 1.04125 0.807437 1.27241,-96.5224,2.20689 0.695724 -2.32883 0.402672
2.20689 0.695724 -2.32883 0.402672,1.84671 1.02618 0.792647 1.27773,-96.4824,2.20678 0.695617 -2.23277 0.402524
2.20678 0.695617 -2.23277 0.402524,1.81833 1.04549 0.790808 1.27841,-96.4416,2.2067 0.695506 -2.13692 0.402353
2.2067 0.695506 -2.13692 0.402353,1.81595 1.02813 0.803624 1.30302,-96.4002,2.20666 0.695395 -2.04184 0.402258
2.20666 0.695395 -2.04184 0.402258,1.83395 1.00481 0.805258 1.28861,-96.3587,2.20667 0.695283 -1.94732 0.402109
2.20667 0.695283 -1.94732 0.402109,1.80886 1.00784 0.821579 1.2967,-96.3175,2.20671 0.695171 -1.85375 0.401981
2.20671 0.695171 -1.85375 0.401981,1.81645 1.03031 0.793622 1.3412,-96.2768,2.2068 0.695061 -1.76081 0.402025
2.2068 0.695061 -1.76081 0.402025,1.78682 1.0412 0.782744 1.36839,-96.2371,2.20692 0.694954 -1.66878 0.402057
2.20692 0.694954 -1.66878 0.402057,1.76877 1.04742 0.757805 1.377,-96.1987,2.20708 0.69485 -1.57743 0.401988
2.20708 0.69485 -1.57743 0.401988,1.77131 1.0222 0.757794 1.38032,-96.1619,2.20728 0.69475 -1.48695 0.401859
2.20728 0.69475 -1.48695 0.401859,1.79472 1.00783 0.728714 1.41585,-96.127,2.20751 0.694656 -1.39714 0.401794
2.20751 0.694656 -1.39714 0.401794,1.78456 1.01131 0.72417 1.44696,-96.0943,2.20778 0.694567 -1.30824 0.401803
2.20778 0.694567 -1.30824 0.401803,1.79658 0.982411 0.705768 1.45262,-96.0641,2.20807 0.694485 -1.22016 0.401709
2.20807 0.694485 -1.22016 0.401709,1.80625 0.948895 0.710146 1.46358,-96.0364,2.20839 0.69441 -1.13316 0.401594
2.20839 0.69441 -1.13316 0.401594,1.78972 0.941608 0.696653 1.47252,-96.0116,2.20873 0.694343 -1.04728 0.40139
2.20873 0.694343 -1.04728 0.40139,1.81812 0.954682 0.678491 1.45132,-95.9899,2.2091 0.694283 -0.96148 0.401211
2.2091 0.694283 -0.96148 0.401211,1.82875 0.943881 0.656049 1.46757,-95.9712,2.20948 0.694233 -0.875685 0.401025
2.20948 0.694233 -0.875685 0.401025,1.82124 0.944699 0.648886 1.49387,-95.9559,2.20988 0.694191 -0.790168 0.400899
2.20988 0.694191 -0.790168 0.400899,1.80127 0.931463 0.643958 1.49881,-95.944,2.21029 0.694159 -0.705233 0.400668
2.21029 0.694159 -0.705233 0.400668,1.80714 0.917304 0.58106 1.48919,-95.9356,2.21071 0.694136 -0.620113 0.400176
2.21071 0.694136 -0.620113 0.400176,1.80997 0.930438 0.506622 1.48305,-95.9308,2.21113 0.694123 -0.533817 0.399503
2.21113 0.694123 -0.533817 0.399503,1.80237 0.921535 0.445739 1.50305,-95.9297,2.21156 0.69412 -0.446278 0.398687
2.21156 0.69412 -0.446278 0.398687,1.81032 0.921837 0.424313 1.52067,-95.9324,2.21198 0.694127 -0.357567 0.397957
2.21198 0.694127 -0.357567 0.397957,1.8438 0.909853 0.417354 1.51631,-95.9389,2.2124 0.694145 -0.267533 0.397324
2.2124 0.694145 -0.267533 0.397324,1.86028 0.948144 0.430016 1.49988,-95.9492,2.21281 0.694173 -0.175776 0.396922
2.21281 0.694173 -0.175776 0.396922,1.86206 0.96916 0.444328 1.48888,-95.9631,2.2132 0.694211 -0.0823845 0.396644
2.2132 0.694211 -0.0823845 0.396644,1.85694 0.950731 0.469439 1.49704,-95.9807,2.21358 0.694259 0.0117622 0.396423
2.21358 0.694259 0.0117622 0.396423,1.85622 0.951367 0.455622 1.49333,-96.0018,2.21394 0.694316 0.106716 0.39616
2.21394 0.694316 0.106716 0.39616,1.83669 0.954665 0.469938 1.49335,-96.0261,2.21428 0.694382 0.202013 0.395913
2.21428 0.694382 0.202013 0.395913,1.8311 0.958313 0.463288 1.48479,-96.0534,2.21459 0.694456 0.297732 0.395627
2.21459 0.694456 0.297732 0.395627,1.83946 0.982223 0.466398 1.48235,-96.0835,2.21487 0.694538 0.394131 0.395479
2.21487 0.694538 0.394131 0.395479,1.83141 1.0013 0.425875 1.45199,-96.1162,2.21511 0.694626 0.491952 0.395136
2.21511 0.694626 0.491952 0.395136,1.8368 1.02598 0.44079 1.4467,-96.151,2.21532 0.694721 0.591154 0.39496
2.21532 0.694721 0.591154 0.39496,1.85812 1.00674 0.447499 1.4563,-96.1877,2.21549 0.69482 0.691334 0.394863
2.21549 0.69482 0.691334 0.394863,1.84297 1.01686 0.453945 1.44889,-96.2258,2.21562 0.694923 0.792268 0.394753
2.21562 0.694923 0.792268 0.394753,1.86152 1.01453 0.410621 1.46082,-96.265,2.21571 0.69503 0.894315 0.394599
2.21571 0.69503 0.894315 0.394599,1.84299 1.03321 0.408216 1.48599,-96.3049,2.21575 0.695137 0.997029 0.394538
2.21575 0.695137 0.997029 0.394538,1.8675 1.03203 0.40678 1.49629,-96.3449,2.21575 0.695246 1.10043 0.394594
2.21575 0.695246 1.10043 0.394594,1.84867 1.02463 0.399639 1.46353,-96.3847,2.21571 0.695353 1.20454 0.394415
2.21571 0.695353 1.20454 0.394415,1.86403 1.03276 0.403097 1.46443,-96.4237,2.21562 0.695458 1.30942 0.394348
2.21562 0.695458 1.30942 0.394348,1.85902 1.02762 0.450232 1.45328,-96.4616,2.21548 0.695561 1.41443 0.394377
2.21548 0.695561 1.41443 0.394377,1.87587 1.04851 0.454218 1.46494,-96.4979,2.21531 0.695658 1.51978 0.394588
2.21531 0.695658 1.51978 0.394588,1.86686 1.07541 0.423466 1.47436,-96.5321,2.2151 0.695751 1.62582 0.394769
2.2151 0.695751 1.62582 0.394769,1.84549 1.09154 0.416484 1.49201,-96.5639,2.21485 0.695836 1.73224 0.394954
2.21485 0.695836 1.73224 0.394954,1.83285 1.10627 0.450863 1.45479,-96.5928,2.21456 0.695914 1.83902 0.395121
2.21456 0.695914 1.83902 0.395121,1.83771 1.12028 0.467166 1.42119,-96.6185,2.21424 0.695983 1.94647 0.395279
2.21424 0.695983 1.94647 0.395279,1.83666 1.09854 0.476245 1.41616,-96.6406,2.2139 0.696043 2.05417 0.395359
2.2139 0.696043 2.05417 0.395359,1.83963 1.05976 0.475821 1.42992,-96.659,2.21353 0.696092 2.16156 0.395355
2.21353 0.696092 2.16156 0.395355,1.8591 1.07539 0.471717 1.43801,-96.6735,2.21315 0.696131 2.26903 0.395486
2.21315 0.696131 2.26903 0.395486,1.88659 1.12642 0.459487 1.43807,-96.6837,2.21275 0.696158 2.37751 0.395836
2.21275 0.696158 2.37751 0.395836,1.8857 1.12205 0.423266 1.44029,-96.6895,2.21234 0.696174 2.48711 0.39602
2.21234 0.696174 2.48711 0.39602,1.85315 1.10945 0.420245 1.46087,-96.6908,2.21193 0.696177 2.59693 0.396094
2.21193 0.696177 2.59693 0.396094,1.87924 1.13325 0.411785 1.47753,-96.6876,2.21151 0.696169 2.70738 0.396362
2.21151 0.696169 2.70738 0.396362,1.84493 1.12999 0.391277 1.44151,-96.6799,2.21111 0.696148 2.81852 0.396282
2.21111 0.696148 2.81852 0.396282,1.84074 1.1217 0.410919 1.40977,-96.6678,2.21072 0.696115 2.93021 0.396123
2.21072 0.696115 2.93021 0.396123,1.82373 1.10374 0.405554 1.40779,-96.6514,2.21034 0.696072 3.04204 0.395831
2.21034 0.696072 3.04204 0.395831,1.81254 1.15407 0.38047 1.39986,-96.631,2.20999 0.696017 -3.12844 0.395584
2.20999 0.696017 -3.12844 0.395584,1.78206 1.13803 0.405028 1.40433,-96.6068,2.20966 0.695951 -3.01585 0.395298
2.20966 0.695951 -3.01585 0.395298,1.8088 1.14349 0.389244 1.40817,-96.5791,2.20936 0.695877 -2.90287 0.395106
2.20936 0.695877 -2.90287 0.395106,1.82608 1.1258 0.372737 1.41987,-96.5483,2.2091 0.695794 -2.78954 0.394913
2.2091 0.695794 -2.78954 0.394913,1.79872 1.13534 0.404897 1.41314,-96.5148,2.20888 0.695704 -2.6764 0.394762
2.20888 0.695704 -2.6764 0.394762,1.79032 1.18016 0.423861 1.40679,-96.4791,2.20871 0.695608 -2.56314 0.394793
2.20871 0.695608 -2.56314 0.394793,1.80052 1.13968 0.420427 1.40796,-96.4417,2.20857 0.695507 -2.4501 0.39471
2.20857 0.695507 -2.4501 0.39471,1.8237 1.12106 0.442939 1.39623,-96.403,2.20848 0.695402 -2.33729 0.394686
2.20848 0.695402 -2.33729 0.394686,1.81335 1.11903 0.437297 1.39384,-96.3636,2.20844 0.695296 -2.2247 0.394594
2.20844 0.695296 -2.2247 0.394594,1.81049 1.0893 0.423383 1.38023,-96.324,2.20844 0.695189 -2.11235 0.394301
2.20844 0.695189 -2.11235 0.394301,1.79378 1.08159 0.432842 1.38694,-96.2848,2.20849 0.695083 -2.00062 0.394004
2.20849 0.695083 -2.00062 0.394004,1.79811 1.06984 0.458447 1.40505,-96.2464,2.20859 0.694979 -1.8899 0.393858
2.20859 0.694979 -1.8899 0.393858,1.78631 1.10243 0.441612 1.41845,-96.2093,2.20873 0.694879 -1.77975 0.393784
2.20873 0.694879 -1.77975 0.393784,1.7618 1.10776 0.461379 1.46624,-96.174,2.20892 0.694783 -1.67095 0.393884
2.20892 0.694783 -1.67095 0.393884,1.74983 1.1018 0.45479 1.49581,-96.1408,2.20914 0.694693 -1.56367 0.393994
2.20914 0.694693 -1.56367 0.393994,1.73545 1.1063 0.43989 1.49942,-96.1102,2.2094 0.69461 -1.45757 0.39402
2.2094 0.69461 -1.45757 0.39402,1.737 1.1034 0.459965 1.47744,-96.0825,2.20969 0.694535 -1.35243 0.394033
2.20969 0.694535 -1.35243 0.394033,1.72223 1.06436 0.414843 1.45485,-96.0581,2.21001 0.694469 -1.24791 0.393624
2.21001 0.694469 -1.24791 0.393624,1.72254 1.06167 0.409781 1.44057,-96.0371,2.21036 0.694412 -1.1437 0.393174
2.21036 0.694412 -1.1437 0.393174,1.72179 1.07179 0.369113 1.45567,-96.02,2.21073 0.694365 -1.03938 0.392705
2.21073 0.694365 -1.03938 0.392705,1.68862 1.07129 0.341337 1.42318,-96.0068,2.21111 0.694329 -0.93469 0.39195
2.21111 0.694329 -0.93469 0.39195,1.67873 1.04278 0.313903 1.42426,-95.9977,2.21151 0.694305 -0.829829 0.391034
2.21151 0.694305 -0.829829 0.391034,1.66981 1.03314 0.289523 1.44997,-95.9929,2.21191 0.694292 -0.725038 0.390134
2.21191 0.694292 -0.725038 0.390134,1.65588 0.992595 0.282039 1.45942,-95.9923,2.21232 0.69429 -0.620901 0.389127
2.21232 0.69429 -0.620901 0.389127,1.64547 0.96925 0.235498 1.47537,-95.996,2.21272 0.6943 -0.517322 0.387981
2.21272 0.6943 -0.517322 0.387981,1.68895 0.950344 0.256695 1.48132,-96.0037,2.21312 0.694321 -0.414222 0.387109
2.21312 0.694321 -0.414222 0.387109,1.67104 0.955299 0.25534 1.48377,-96.0155,2.2135 0.694353 -0.311656 0.386268
2.2135 0.694353 -0.311656 0.386268,1.70124 0.971914 0.247734 1.47648,-96.0311,2.21387 0.694396 -0.208872 0.385607
2.21387 0.694396 -0.208872 0.385607,1.69836 0.96306 0.246778 1.4975,-96.0504,2.21422 0.694448 -0.106246 0.38503
2.21422 0.694448 -0.106246 0.38503,1.68135 0.956773 0.261489 1.48486,-96.0731,2.21454 0.69451 -0.00401539 0.384426
2.21454 0.69451 -0.00401539 0.384426,1.66105 0.937028 0.263892 1.48823,-96.099,2.21483 0.69458 0.0974116 0.383753
2.21483 0.69458 0.0974116 0.383753,1.64236 0.924095 0.260717 1.48532,-96.1276,2.2151 0.694657 0.197918 0.383004
2.2151 0.694657 0.197918 0.383004,1.64359 0.946999 0.268597 1.52804,-96.1586,2.21533 0.694742 0.297398 0.382576
2.21533 0.694742 0.297398 0.382576,1.64883 0.983112 0.275595 1.553,-96.1919,2.21553 0.694832 0.396142 0.382436
2.21553 0.694832 0.396142 0.382436,1.6425 1.00009 0.23073 1.57069,-96.2269,2.21569 0.694926 0.494683 0.382251
2.21569 0.694926 0.494683 0.382251,1.6611 0.988677 0.225855 1.57361,-96.2633,2.21581 0.695025 0.593156 0.382099
2.21581 0.695025 0.593156 0.382099,1.7016 0.974826 0.256075 1.58715,-96.3008,2.21589 0.695126 0.691393 0.382204
2.21589 0.695126 0.691393 0.382204,1.71047 0.957069 0.255982 1.59773,-96.3388,2.21593 0.695229 0.789232 0.382305
2.21593 0.695229 0.789232 0.382305,1.68176 0.936719 0.2522 1.6139,-96.3771,2.21593 0.695332 0.886099 0.382271
2.21593 0.695332 0.886099 0.382271,1.66535 0.951882 0.255819 1.60619,-96.4151,2.21589 0.695435 0.982199 0.382222
2.21589 0.695435 0.982199 0.382222,1.69407 0.944384 0.272125 1.61018,-96.4526,2.21581 0.695536 1.07768 0.38232
2.21581 0.695536 1.07768 0.38232,1.69326 0.939783 0.23739 1.61125,-96.4892,2.21569 0.695635 1.17295 0.382275
2.21569 0.695635 1.17295 0.382275,1.73072 0.947369 0.246579 1.59372,-96.5244,2.21553 0.69573 1.26861 0.382361
2.21553 0.69573 1.26861 0.382361,1.7682 0.919149 0.257559 1.59944,-96.5579,2.21534 0.69582 1.36451 0.38253
2.21534 0.69582 1.36451 0.38253,1.76102 0.900553 0.276942 1.61184,-96.5895,2.21511 0.695905 1.46 0.382706
2.21511 0.695905 1.46 0.382706,1.75701 0.918733 0.284756 1.60333,-96.6188,2.21486 0.695984 1.55532 0.382914
2.21486 0.695984 1.55532 0.382914,1.76364 0.915958 0.266148 1.58913,-96.6455,2.21457 0.696056 1.65087 0.383005
2.21457 0.696056 1.65087 0.383005,1.80041 0.892935 0.275697 1.5888,-96.6693,2.21426 0.69612 1.74667 0.383168
2.21426 0.69612 1.74667 0.383168,1.82336 0.920988 0.263503 1.5805,-96.6901,2.21392 0.696175 1.84343 0.383424
2.21392 0.696175 1.84343 0.383424,1.80646 0.945137 0.27167 1.55341,-96.7075,2.21357 0.696222 1.94124 0.383618
2.21357 0.696222 1.94124 0.383618,1.81166 0.905334 0.275022 1.52744,-96.7213,2.2132 0.696259 2.03979 0.383598
2.2132 0.696259 2.03979 0.383598,1.84986 0.945835 0.268957 1.54066,-96.7314,2.21281 0.696286 2.13971 0.383877
2.21281 0.696286 2.13971 0.383877,1.82559 0.956524 0.264464 1.47507,-96.7376,2.21242 0.696303 2.24133 0.383843
2.21242 0.696303 2.24133 0.383843,1.83354 0.931235 0.2502 1.49486,-96.7398,2.21202 0.696309 2.3441 0.383771
2.21202 0.696309 2.3441 0.383771,1.82505 0.940933 0.240506 1.49762,-96.7379,2.21162 0.696304 2.44787 0.383685
2.21162 0.696304 2.44787 0.383685,1.80329 0.94657 0.253013 1.48733,-96.7318,2.21123 0.696288 2.55228 0.383558
2.21123 0.696288 2.55228 0.383558,1.79569 0.960521 0.253726 1.45781,-96.7217,2.21084 0.69626 2.65755 0.383364
2.21084 0.69626 2.65755 0.383364,1.79281 0.973625 0.248744 1.45122,-96.7076,2.21047 0.696223 2.76376 0.383181
2.21047 0.696223 2.76376 0.383181,1.82531 0.969112 0.283485 1.42423,-96.6898,2.21012 0.696175 2.87094 0.383136
2.21012 0.696175 2.87094 0.383136,1.82333 0.940714 0.284894 1.43558,-96.6682,2.20979 0.696117 2.97843 0.383034
2.20979 0.696117 2.97843 0.383034,1.84303 0.942563 0.293548 1.42889,-96.6434,2.20948 0.69605 3.08638 0.383022
2.20948 0.69605 3.08638 0.383022,1.86477 0.921396 0.312825 1.42339,-96.6154,2.20921 0.695975 -3.08863 0.383061
2.20921 0.695975 -3.08863 0.383061,1.87017 0.956355 0.326668 1.42173,-96.5848,2.20897 0.695892 -2.97997 0.383279
2.20897 0.695892 -2.97997 0.383279,1.86527 1.00997 0.322327 1.4069,-96.5516,2.20876 0.695803 -2.87021 0.383581
2.20876 0.695803 -2.87021 0.383581,1.85625 1.01251 0.319917 1.39173,-96.5165,2.20859 0.695708 -2.75946 0.383775
2.20859 0.695708 -2.75946 0.383775,1.85694 0.987984 0.314376 1.37577,-96.4797,2.20847 0.695609 -2.64794 0.383797
2.20847 0.695609 -2.64794 0.383797,1.84918 0.977832 0.2896 1.39243,-96.4418,2.20839 0.695507 -2.53592 0.383726
2.20839 0.695507 -2.53592 0.383726,1.86795 0.921925 0.288248 1.38389,-96.4034,2.20835 0.695403 -2.42379 0.383498
2.20835 0.695403 -2.42379 0.383498,1.90016 0.87864 0.320633 1.39796,-96.3647,2.20836 0.695299 -2.31218 0.383411
2.20836 0.695299 -2.31218 0.383411,1.88123 0.872716 0.335636 1.3849,-96.3264,2.20841 0.695196 -2.20126 0.383252
2.20841 0.695196 -2.20126 0.383252,1.89291 0.861173 0.349472 1.40661,-96.2889,2.20851 0.695094 -2.09127 0.383229
2.20851 0.695094 -2.09127 0.383229,1.88168 0.8251 0.355569 1.43322,-96.2527,2.20865 0.694996 -1.98285 0.383158
2.20865 0.694996 -1.98285 0.383158,1.88981 0.824495 0.388945 1.44648,-96.218,2.20882 0.694902 -1.8761 0.383281
2.20882 0.694902 -1.8761 0.383281,1.90268 0.814359 0.390053 1.44354,-96.1853,2.20904 0.694814 -1.77064 0.383396
2.20904 0.694814 -1.77064 0.383396,1.89631 0.776036 0.376868 1.41386,-96.1549,2.20928 0.694731 -1.66623 0.383199
2.20928 0.694731 -1.66623 0.383199,1.88163 0.789934 0.349622 1.43385,-96.1271,2.20956 0.694656 -1.5626 0.38299
2.20956 0.694656 -1.5626 0.38299,1.85425 0.7586 0.318544 1.4171,-96.1023,2.20987 0.694589 -1.45971 0.382428
2.20987 0.694589 -1.45971 0.382428,1.84254 0.768584 0.334744 1.40887,-96.0806,2.2102 0.69453 -1.35752 0.381934
2.2102 0.69453 -1.35752 0.381934,1.85357 0.786065 0.315011 1.39664,-96.0623,2.21055 0.69448 -1.25526 0.381468
2.21055 0.69448 -1.25526 0.381468,1.85834 0.784019 0.318207 1.42144,-96.0475,2.21092 0.69444 -1.15321 0.381147
2.21092 0.69444 -1.15321 0.381147,1.8637 0.752387 0.319777 1.44445,-96.0365,2.2113 0.69441 -1.05187 0.380846
2.2113 0.69441 -1.05187 0.380846,1.87866 0.752065 0.351985 1.45883,-96.0291,2.21169 0.69439 -0.95144 0.380782
2.21169 0.69439 -0.95144 0.380782,1.83704 0.747448 0.389334 1.43969,-96.0255,2.21209 0.69438 -0.852427 0.380625
2.21209 0.69438 -0.852427 0.380625,1.84207 0.746183 0.358576 1.45057,-96.0257,2.21249 0.694381 -0.75432 0.380426
2.21249 0.694381 -0.75432 0.380426,1.85689 0.780188 0.350786 1.44988,-96.0296,2.21289 0.694391 -0.656348 0.380382
2.21289 0.694391 -0.656348 0.380382,1.83411 0.77799 0.344318 1.45494,-96.0372,2.21328 0.694412 -0.558736 0.380251
2.21328 0.694412 -0.558736 0.380251,1.80473 0.793924 0.318567 1.44482,-96.0484,2.21366 0.694443 -0.461181 0.379959
2.21366 0.694443 -0.461181 0.379959,1.80178 0.76683 0.333216 1.42427,-96.0631,2.21403 0.694483 -0.363927 0.379567
2.21403 0.694483 -0.363927 0.379567,1.78484 0.762601 0.310141 1.43465,-96.0812,2.21438 0.694532 -0.26701 0.379088
2.21438 0.694532 -0.26701 0.379088,1.7857 0.78504 0.279399 1.40975,-96.1025,2.2147 0.694589 -0.169537 0.378537
2.2147 0.694589 -0.169537 0.378537,1.8384 0.836133 0.273284 1.4052,-96.1269,2.21501 0.694655 -0.0704 0.378352
2.21501 0.694655 -0.0704 0.378352,1.81472 0.835826 0.24569 1.41138,-96.154,2.21529 0.694729 0.0300682 0.378025
2.21529 0.694729 0.0300682 0.378025,1.78836 0.814427 0.202828 1.38253,-96.1838,2.21553 0.69481 0.131873 0.377311
2.21553 0.69481 0.131873 0.377311,1.80239 0.813525 0.174657 1.35867,-96.2158,2.21574 0.694896 0.235451 0.376519
2.21574 0.694896 0.235451 0.376519,1.78941 0.800175 0.180294 1.3744,-96.2497,2.21592 0.694988 0.339959 0.375773
2.21592 0.694988 0.339959 0.375773,1.77654 0.768545 0.193072 1.36202,-96.2851,2.21606 0.695084 0.444744 0.374934
2.21606 0.695084 0.444744 0.374934,1.78966 0.754568 0.198332 1.37289,-96.3217,2.21615 0.695183 0.549574 0.374216
2.21615 0.695183 0.549574 0.374216,1.7913 0.76528 0.215756 1.37891,-96.3589,2.21621 0.695283 0.654322 0.373679
2.21621 0.695283 0.654322 0.373679,1.77605 0.760492 0.216832 1.34279,-96.3965,2.21622 0.695385 0.759163 0.372993
2.21622 0.695385 0.759163 0.372993,1.77095 0.758221 0.225852 1.33993,-96.434,2.2162 0.695486 0.863935 0.372358
2.2162 0.695486 0.863935 0.372358,1.75881 0.767222 0.216218 1.33472,-96.4709,2.21613 0.695586 0.968776 0.371712
2.21613 0.695586 0.968776 0.371712,1.76002 0.76192 0.264229 1.31935,-96.5069,2.21603 0.695683 1.07329 0.371215
2.21603 0.695683 1.07329 0.371215,1.75129 0.765363 0.254429 1.30014,-96.5416,2.21588 0.695776 1.17778 0.370639
2.21588 0.695776 1.17778 0.370639,1.77836 0.757958 0.282401 1.29357,-96.5746,2.2157 0.695865 1.28224 0.370251
2.2157 0.695865 1.28224 0.370251,1.7592 0.723147 0.289141 1.29664,-96.6056,2.21549 0.695948 1.386 0.36974
2.21549 0.695948 1.386 0.36974,1.74341 0.71468 0.279244 1.31589,-96.6344,2.21524 0.696026 1.48884 0.369218
2.21524 0.696026 1.48884 0.369218,1.75802 0.732291 0.277376 1.31682,-96.6605,2.21497 0.696096 1.59129 0.368846
2.21497 0.696096 1.59129 0.368846,1.75953 0.714989 0.274495 1.303,-96.6838,2.21467 0.696158 1.69344 0.36839
2.21467 0.696158 1.69344 0.36839,1.79402 0.731628 0.286282 1.26307,-96.704,2.21435 0.696213 1.79617 0.36805
2.21435 0.696213 1.79617 0.36805,1.78634 0.730462 0.294854 1.25975,-96.7209,2.21401 0.696258 1.89923 0.367724
2.21401 0.696258 1.89923 0.367724,1.78748 0.729003 0.329883 1.2817,-96.7345,2.21365 0.696295 2.00195 0.36762
2.21365 0.696295 2.00195 0.36762,1.77858 0.729122 0.293998 1.277,-96.7444,2.21328 0.696321 2.10473 0.367353
2.21328 0.696321 2.10473 0.367353,1.79359 0.716144 0.276207 1.28192,-96.7507,2.2129 0.696338 2.20771 0.367069
2.2129 0.696338 2.20771 0.367069,1.78626 0.719638 0.308268 1.28722,-96.7533,2.21252 0.696345 2.31043 0.366924
2.21252 0.696345 2.31043 0.366924,1.7769 0.698568 0.320659 1.29849,-96.7523,2.21214 0.696342 2.41236 0.366767
2.21214 0.696342 2.41236 0.366767,1.78743 0.65245 0.332664 1.3097,-96.7475,2.21176 0.69633 2.51303 0.366579
2.21176 0.69633 2.51303 0.366579,1.79687 0.65351 0.289193 1.31452,-96.7393,2.21139 0.696307 2.6132 0.366308
2.21139 0.696307 2.6132 0.366308,1.78198 0.651451 0.318792 1.30435,-96.7276,2.21103 0.696276 2.71258 0.366067
2.21103 0.696276 2.71258 0.366067,1.76993 0.648373 0.300628 1.28841,-96.7125,2.21068 0.696236 2.81152 0.365674
2.21068 0.696236 2.81152 0.365674,1.74109 0.632481 0.280959 1.31836,-96.6944,2.21035 0.696187 2.90951 0.365193
2.21035 0.696187 2.90951 0.365193,1.72871 0.625542 0.308024 1.29643,-96.6733,2.21004 0.69613 3.00647 0.364699
2.21004 0.69613 3.00647 0.364699,1.71821 0.598368 0.308466 1.28697,-96.6495,2.20976 0.696066 3.1023 0.364082
2.20976 0.696066 3.1023 0.364082,1.70138 0.595596 0.30814 1.29121,-96.6233,2.20949 0.695996 -3.08625 0.363459
2.20949 0.695996 -3.08625 0.363459,1.7066 0.621284 0.314398 1.2668,-96.595,2.20925 0.69592 -2.99208 0.362928
2.20925 0.69592 -2.99208 0.362928,1.69635 0.62081 0.319759 1.26019,-96.5646,2.20905 0.695838 -2.89838 0.362397
2.20905 0.695838 -2.89838 0.362397,1.70068 0.615752 0.290523 1.26885,-96.5326,2.20887 0.695752 -2.80487 0.361833
2.20887 0.695752 -2.80487 0.361833,1.70305 0.63128 0.286637 1.28152,-96.4992,2.20872 0.695662 -2.71141 0.361405
